,element_count,column_count,array_time,pandas_df_time,pandas_df_compute,spark_df_time,spark_df_compute
1,10,1,1.54E-05,8.78E-05,0.000180204,0.017052023,0.091395553
2,10,10,2.28E-05,7.82E-05,0.000237498,0.017699557,0.144080503
3,100,1,1.08E-05,8.06E-05,0.000168206,0.014183783,0.100324977
4,100,10,1.94E-05,5.14E-05,0.000191212,0.0145912,0.127043895
5,100,100,1.12E-05,5.17E-05,0.000364485,0.028856976,0.945291026
6,1000,1,3.07E-05,0.000101604,0.000233622,0.028126321,0.092077165
7,1000,10,1.97E-05,5.13E-05,0.000135498,0.020613225,0.122609533
8,1000,100,3.39E-05,9.55E-05,0.000651432,0.031173217,0.897060891
9,1000,1000,7.97E-05,5.22E-05,0.002303282,0.151547156,8.238579482
10,10000,1,0.00010597,5.20E-05,0.000122677,0.168008205,0.098558757
11,10000,10,0.00010698,5.16E-05,0.000162623,0.075376625,0.120891781
12,10000,100,0.00010766,5.19E-05,0.000336254,0.077296886,0.81037649
13,10000,1000,0.000104957,5.19E-05,0.002189356,0.193841556,8.238182513
14,100000,1,0.001245851,6.28E-05,0.000325545,1.554438088,0.127370237
15,100000,10,0.001085627,5.14E-05,0.000337952,0.616199854,0.121714357
16,100000,100,0.001070815,5.19E-05,0.000514802,0.534027265,0.860293014
17,100000,1000,0.001410551,9.24E-05,0.004070501,1.066757488,8.498360248
18,1000000,1,0.010037586,5.10E-05,0.001734566,15.40901057,0.742049168
19,1000000,10,0.010841714,5.21E-05,0.003202653,6.007034001,0.2502795
20,1000000,100,0.010814314,5.22E-05,0.002866414,5.118830031,0.993263663
21,1000000,1000,0.010728475,5.17E-05,0.006285779,5.375566669,8.802846259
22,10000000,1,0.09907256,5.10E-05,0.016986055,153.2171825,7.195553393
23,10000000,10,0.105863934,5.41E-05,0.065730885,60.04029851,1.726788902
24,10000000,100,0.104860209,5.18E-05,0.044311005,51.00771966,2.316596416
25,10000000,1000,0.105637795,5.13E-05,0.035278755,52.71956477,11.40996789